GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,domain,age_days,CI_Status
aiqm/torchani,Y,516,990,53385,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,Most of the functions in the source code are not documented.,Evidence of sustained commit activity but not stable,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-09,11,16,ML Frameworks / Libraries,2802,Yes
alfredfrancis/ai-chatbot-framework,Y,2125,470,2327,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/alfredfrancis/ai-chatbot-framework/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/alfredfrancis/ai-chatbot-framework/issues/130 and https://github.com/alfredfrancis/ai-chatbot-framework/issues/113 but not recently",https://github.com/alfredfrancis/ai-chatbot-framework/blob/master/License.txt is provided.,There are files related to testing,2025-02-03,23,21,Natural Language Processing,3274,Yes
allegroai/trains,Y,6293,2561,157601,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allegroai/trains/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/allegroai/trains/issues/154 and https://github.com/allegroai/trains/issues/138",https://github.com/allegroai/trains/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,2025-09-26,4,99,MLOps / Deployment,2368,Yes
amaiya/ktrain,Y,1261,3066,15566,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amaiya/ktrain/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/amaiya/ktrain/issues/191 and https://github.com/amaiya/ktrain/issues/185",https://github.com/amaiya/ktrain/blob/master/LICENSE is provided.,There are many files related to testing,2024-07-09,5,16,Natural Language Processing,2492,Yes
analyticalmindsltd/smote_variants,Y,673,498,21361,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,The project uses Travis and Circle CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/analyticalmindsltd/smote_variants/issues/24 and https://github.com/analyticalmindsltd/smote_variants/issues/11 but not often",https://github.com/analyticalmindsltd/smote_variants/blob/master/LICENSE is provided.,Only 1 test file,2024-01-01,5,5,Data Science / Traditional ML,2616,Yes
apache/beam,Y,8304,45656,249436,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/beam/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/apache/beam/pull/12186 and https://github.com/apache/beam/pull/12190",https://github.com/apache/beam/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-27,230,842,MLOps / Deployment,3592,Yes
apache/submarine,Y,706,1051,13139,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/submarine/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"5 open, 5 closed",https://github.com/apache/submarine/blob/master/LICENSE-binary and https://github.com/apache/submarine/blob/master/LICENSE-binary are provided.,There are many files related to testing,2024-04-03,23,63,MLOps / Deployment,2267,Yes
ARM-software/CMSIS_5,Y,1522,3264,480,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ARM-software/CMSIS_5/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well-maintained documentation,There are only 5 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,"The project maintainers respond to issues, as evidenced by https://github.com/ARM-software/CMSIS_5/issues/890 and https://github.com/ARM-software/CMSIS_5/issues/805.",https://github.com/ARM-software/CMSIS_5/blob/develop/LICENSE.txt is provided.,There are many files related to testing.,2024-09-03,3,114,Domain-Specific Applications,3576,Yes
arogozhnikov/einops,Y,9199,713,4042,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arogozhnikov/einops/graphs/contributors shows that there are multiple contributors but mainly 1,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,Open issues more than closed,https://github.com/arogozhnikov/einops/blob/master/LICENSE is provided.,There are files related to testing,2025-08-12,6,31,ML Frameworks / Libraries,2630,Yes
arogozhnikov/hep_ml,Y,192,371,2839,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arogozhnikov/hep_ml/graphs/contributors shows that there are multiple contributors but mainly 1,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,Do reply to issues last time but not recently and not often,https://github.com/arogozhnikov/hep_ml/blob/master/LICENSE is provided.,There are many files related to testing,2025-07-01,8,10,Data Science / Traditional ML,3865,Yes
arviz-devs/arviz,Y,1729,1614,33576,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arviz-devs/arviz/graphs/contributors shows that there are multiple contributors,The project uses Azure Pipeline CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/arviz-devs/arviz/issues/1262 and https://github.com/arviz-devs/arviz/issues/1270",https://github.com/arviz-devs/arviz/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-17,6,173,Data Science / Traditional ML,3780,Yes
autorope/donkeycar,Y,3314,2204,22292,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/autorope/donkeycar/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/autorope/donkeycar/issues/600 and https://github.com/autorope/donkeycar/issues/566",https://github.com/autorope/donkeycar/blob/dev/LICENSE is provided.,There are many files related to testing,2025-08-04,46,112,ML Frameworks / Libraries,3280,Yes
avrae/avrae,Y,439,6107,35896,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/avrae/avrae/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"Most of the bugs raised by bot, resolved then closed by bot",https://github.com/avrae/avrae/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-26,30,42,Domain-Specific Applications,3226,Yes
awslabs/amazon-sagemaker-examples,Y,10746,3175,70067,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/awslabs/amazon-sagemaker-examples/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,Open issues more than closed,https://github.com/awslabs/amazon-sagemaker-examples/blob/master/LICENSE.txt is provided.,There are many projects in this git and some of them have test files,2025-09-03,191,531,Reinforcement Learning,2963,Yes
bayesiains/nflows,Y,958,161,6408,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bayesiains/nflows/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Little evidence of sustained commit activity,Open issues more than closed,https://github.com/bayesiains/nflows/blob/master/LICENSE.md is provided.,There are many files related to testing,2024-12-27,2,22,ML Frameworks / Libraries,2116,Yes
Belval/TextRecognitionDataGenerator,Y,3571,156,3319,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Belval/TextRecognitionDataGenerator/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/Belval/TextRecognitionDataGenerator/issues/109 and https://github.com/Belval/TextRecognitionDataGenerator/issues/95.",https://github.com/Belval/TextRecognitionDataGenerator/blob/master/LICENSE is provided.,There are 2 files related to testing.,2024-02-15,8,32,Computer Vision,3077,Yes
beringresearch/ivis,Y,338,584,2011,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/beringresearch/ivis/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/beringresearch/ivis/issues/61 and https://github.com/beringresearch/ivis/issues/71",https://github.com/beringresearch/ivis/blob/master/LICENSE is provided.,There are many files related to testing,2024-09-29,2,8,Data Science / Traditional ML,2669,Yes
bethgelab/foolbox,Y,2903,1711,8798,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bethgelab/foolbox/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/bethgelab/foolbox/issues/498 and https://github.com/bethgelab/foolbox/issues/545 but some are closed without resolving","There is no license to be found, either in the form of a license file or written inside the source code file.",There are many files related to testing,2024-03-04,6,32,ML Frameworks / Libraries,3094,Yes
