repo_name,loc,size_category,total_smells,smell_density,hyperparameters_not_explicitly_set,gradients_not_cleared_before_backward_propagation,columns_and_datatype_not_explicitly_set,in_place_apis_misused,Chain_Indexing,matrix_multiplication_api_misused,pytorch_call_method_misused,dataframe_conversion_api_misused,nan_equivalence_comparison_misused,unnecessary_iteration,merge_api_parameter_not_explicitly_set,memory_not_freed,empty_column_misinitialization,Broadcasting_Feature_Not_Used,deterministic_algorithm_option_not_used,tensor_array_not_used,domain
alfredfrancis/ai-chatbot-framework,2327,small,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
ARM-software/CMSIS_5,480,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
arogozhnikov/einops,4042,small,7.0,1.731815932706581,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
arogozhnikov/hep_ml,2839,small,19.0,6.692497358224727,2.0,0.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
bayesiains/nflows,6408,small,10.0,1.560549313358302,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
Belval/TextRecognitionDataGenerator,3319,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
beringresearch/ivis,2011,small,2.0,0.9945300845350571,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
bethgelab/foolbox,8798,small,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
bitextor/bitextor,4658,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
cgre-aachen/gempy,9841,small,31.0,3.1500863733360434,0.0,0.0,10.0,4.0,9.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
deepmedic/deepmedic,6072,small,16.0,2.635046113306983,0.0,0.0,3.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
deezer/spleeter,2291,small,5.0,2.182453077258839,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
dwadden/dygiepp,7411,small,13.0,1.7541492376197545,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
eleurent/rl-agents,6640,small,17.0,2.560240963855422,0.0,0.0,6.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
EpistasisLab/tpot,8506,small,21.0,2.468845520808841,20.0,2.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
ethen8181/machine-learning,2780,small,23.0,8.273381294964029,0.0,0.0,11.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
explosion/prodigy-recipes,3842,small,1.0,0.2602811035918792,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
explosion/spacy-transformers,2897,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
FunctionLab/selene,6352,small,13.0,2.0465994962216625,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
geoopt/geoopt,8404,small,4.0,0.47596382674916704,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
geyang/ml_logger,4472,small,13.0,2.9069767441860463,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
gjy3035/C-3-Framework,4303,small,19.0,4.415524052986289,0.0,3.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
google/fhir,80,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
google/ml-metadata,3619,small,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
GoogleCloudPlatform/healthcare,7788,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
GoogleCloudPlatform/ml-on-gcp,9308,small,15.0,1.6115169746454663,4.0,0.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
google-research/text-to-text-transfer-transformer,8552,small,10.0,1.1693171188026192,0.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
graphbrain/graphbrain,10180,small,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
greentfrapp/lucent,2009,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
guillaume-be/rust-bert,176,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
hastagAB/Awesome-Python-Scripts,7569,small,4.0,0.5284713964856652,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
henrysky/astroNN,10096,small,1.0,0.09904912836767037,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
idealo/image-super-resolution,2788,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
interpretml/DiCE,7492,small,80.0,10.678056593699946,1.0,4.0,49.0,4.0,17.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
interpretml/interpret-text,6861,small,21.0,3.060778312199388,5.0,1.0,6.0,1.0,2.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
jaakkopasanen/AutoEq,4958,small,10.0,2.016942315449778,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
jeongyoonlee/Kaggler,2665,small,24.0,9.00562851782364,0.0,0.0,14.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
jessevig/bertviz,7099,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
joeynmt/joeynmt,9765,small,10.0,1.0240655401945724,0.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
junyanz/pytorch-CycleGAN-and-pix2pix,2037,small,4.0,1.9636720667648504,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
kakao/buffalo,6686,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
kaushaltrivedi/fast-bert,9128,small,36.0,3.943908851884312,0.0,4.0,22.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
keras-team/autokeras,7356,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
kermitt2/grobid,293,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
kipoi/kipoi,9782,small,73.0,7.462686567164179,1.0,0.0,34.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
kubeflow-kale/kale,6510,small,5.0,0.7680491551459294,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
lsds/KungFu,7566,small,1.0,0.13217023526301877,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
magenta/ddsp,9882,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
MAIF/melusine,7613,small,50.0,6.567713122290818,0.0,0.0,36.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
MarkUsProject/Markus,1705,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
masa-su/pixyz,5683,small,14.0,2.4634875945803274,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
michaelhush/M-LOOP,4607,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
microsoft/Windows-Machine-Learning,562,small,4.0,7.117437722419928,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
MIPT-Oulu/solt,4768,small,4.0,0.8389261744966443,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
MITK/MITK,55,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
mlmed/torchxrayvision,6002,small,25.0,4.1652782405864714,0.0,2.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
mozilla/DeepSpeech,8842,small,21.0,2.375028274146121,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
NLeSC/mcfly,1749,small,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
philipperemy/keract,1080,small,1.0,0.9259259259259258,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
philipperemy/keras-tcn,1306,small,1.0,0.7656967840735068,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
pytorch/builder,685,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
pytorch/examples,7428,small,17.0,2.2886375875067313,4.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
robertness/causalML,2330,small,19.0,8.15450643776824,0.0,0.0,6.0,1.0,7.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
RussTedrake/underactuated,5955,small,5.0,0.8396305625524769,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
rusty1s/pytorch_scatter,1450,small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
SeldonIO/seldon-core,3289,small,3.0,0.9121313469139556,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
sigopt/sigopt-examples,5255,small,1.0,0.19029495718363465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
sisl/NeuralVerification.jl,61,small,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
snipsco/tract,1472,small,6.0,4.076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
snorkel-team/snorkel,7633,small,55.0,7.205554827721735,0.0,3.0,42.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
stephenhky/PyShortTextCategorization,2590,small,3.0,1.1583011583011584,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
tensorflow/fairness-indicators,1520,small,5.0,3.289473684210526,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
tensorflow/serving,2292,small,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
thunlp/OpenNRE,3137,small,9.0,2.8689831048772714,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
Tiiiger/QPyTorch,3868,small,9.0,2.326783867631851,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
timesler/facenet-pytorch,1467,small,1.0,0.6816632583503749,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
tslearn-team/tslearn,10150,small,17.0,1.6748768472906403,1.0,1.0,1.0,2.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
wandb/examples,7128,small,4.0,0.5611672278338945,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
wikipedia2vec/wikipedia2vec,4481,small,6.0,1.3389868332961392,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
zalandoresearch/pytorch-ts,9932,small,10.0,1.0068465565847764,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
zeusees/HyperLPR,1356,small,1.0,0.7374631268436578,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
zhanghang1989/PyTorch-Encoding,6905,small,4.0,0.5792903692976104,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
amaiya/ktrain,15566,medium,17.0,1.0921238596942053,5.0,0.0,9.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
analyticalmindsltd/smote_variants,21361,medium,58.0,2.715228687795515,1.0,0.0,12.0,17.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data Science / Traditional ML
apache/submarine,13139,medium,3.0,0.22832787883400565,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLOps / Deployment
autorope/donkeycar,22292,medium,21.0,0.9420419881571863,0.0,0.0,12.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
BindsNET/bindsnet,14028,medium,8.0,0.570287995437696,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
BloodAxe/pytorch-toolbelt,12133,medium,5.0,0.4120992334954257,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
brainiak/brainiak,17865,medium,94.0,5.261684858662189,4.0,0.0,3.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Domain-Specific Applications
Calamari-OCR/calamari,11088,medium,2.0,0.18037518037518038,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision
cornellius-gp/gpytorch,24163,medium,32.0,1.3243388652071348,0.0,5.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
CornellNLP/Cornell-Conversational-Analysis-Toolkit,16129,medium,47.0,2.9140058280116556,0.0,0.0,29.0,9.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Natural Language Processing
cornell-zhang/heterocl,20269,medium,3.0,0.14800927524791554,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
cpnota/autonomous-learning-library,10618,medium,2.0,0.1883593897155773,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
danielegrattarola/spektral,10445,medium,2.0,0.19147917663954045,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ML Frameworks / Libraries
datamllab/rlcard,12848,medium,2.0,0.1556662515566625,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reinforcement Learning
