Repo,Domain,ML_Density,Python_Density
aiqm/torchani,ML Frameworks / Libraries,0.636883019574787,9.684368268240142
alfredfrancis/ai-chatbot-framework,Natural Language Processing,0.0,40.82509669101848
allegroai/trains,MLOps / Deployment,0.2601506335619697,20.437687578124503
amaiya/ktrain,Natural Language Processing,1.0921238596942051,40.28009764872157
analyticalmindsltd/smote_variants,Data Science / Traditional ML,2.715228687795515,6.0858574036796025
apache/beam,MLOps / Deployment,1.884250869962636,55.32481277762633
apache/submarine,MLOps / Deployment,0.2283278788340056,36.5324606134409
ARM-software/CMSIS_5,Domain-Specific Applications,0.0,18.75
arogozhnikov/einops,ML Frameworks / Libraries,1.731815932706581,41.06877783275606
arogozhnikov/hep_ml,Data Science / Traditional ML,6.692497358224727,58.47129270870025
arviz-devs/arviz,Data Science / Traditional ML,0.536097212294496,17.75077436263998
autorope/donkeycar,ML Frameworks / Libraries,0.9420419881571864,53.02350619056163
avrae/avrae,Domain-Specific Applications,0.0,27.96969021618008
awslabs/amazon-sagemaker-examples,Reinforcement Learning,2.9971313171678537,41.360412176916384
bayesiains/nflows,ML Frameworks / Libraries,1.560549313358302,25.124843945068665
Belval/TextRecognitionDataGenerator,Computer Vision,0.0,16.57125640253088
beringresearch/ivis,Data Science / Traditional ML,0.9945300845350572,42.76479363500746
bethgelab/foolbox,ML Frameworks / Libraries,0.0,40.91839054330529
BindsNET/bindsnet,Reinforcement Learning,0.570287995437696,43.62703165098375
bitextor/bitextor,Natural Language Processing,0.0,28.338342636324604
BloodAxe/pytorch-toolbelt,Computer Vision,0.4120992334954257,29.753564658369736
brainiak/brainiak,Domain-Specific Applications,5.261684858662189,53.45647914917436
bulletphysics/bullet3,Reinforcement Learning,0.9623875147582622,28.06798226032086
Calamari-OCR/calamari,Computer Vision,0.1803751803751803,37.42784992784993
calico/basenji,Domain-Specific Applications,6.94775389400286,35.3407409265344
cgre-aachen/gempy,Reinforcement Learning,3.150086373336044,26.521694949700237
CLUEbenchmark/CLUE,Natural Language Processing,0.1633886812491064,92.39629924636972
commaai/openpilot,Domain-Specific Applications,0.0654364611961785,51.84748942110544
cornellius-gp/gpytorch,ML Frameworks / Libraries,1.3243388652071348,41.79944543310019
CornellNLP/Cornell-Conversational-Analysis-Toolkit,Natural Language Processing,2.914005828011656,39.80407960815921
cornell-zhang/heterocl,ML Frameworks / Libraries,0.1480092752479155,52.04992846218363
cpnota/autonomous-learning-library,Reinforcement Learning,0.1883593897155773,24.1100018835939
creme-ml/creme,Data Science / Traditional ML,3.482298316889147,36.43515831559941
danielegrattarola/spektral,ML Frameworks / Libraries,0.1914791766395404,48.2527525131642
datamllab/rlcard,Reinforcement Learning,0.1556662515566625,28.17559153175592
data-science-on-aws/workshop,MLOps / Deployment,3.0660451146638303,95.6105496980884
deepchem/deepchem,Data Science / Traditional ML,0.6703425355942445,47.52822991804827
deepfakes/faceswap,Computer Vision,0.02172213050656,13.619775827613172
deepmedic/deepmedic,Computer Vision,2.635046113306983,42.32542819499341
deepmind/dm-haiku,ML Frameworks / Libraries,0.0480954213158907,49.00923432089265
deepmind/open_spiel,Reinforcement Learning,0.8323442822571945,29.517394454120875
deepmind/sonnet,ML Frameworks / Libraries,0.3789026977872082,51.60654743861776
deepmipt/DeepPavlov,Natural Language Processing,0.1774412965044064,53.70556574200035
deezer/spleeter,ML Frameworks / Libraries,2.182453077258839,34.919249236141425
determined-ai/determined,MLOps / Deployment,0.0957548675390999,32.0353229066922
DigitalSlideArchive/HistomicsTK,Computer Vision,5.306447333510215,44.04351286813478
DLR-RM/stable-baselines3,Reinforcement Learning,1.1695101816180518,36.80517336268574
dmlc/dgl,Domain-Specific Applications,0.9530037359774118,61.85399779998073
DSE-MSU/DeepRobust,ML Frameworks / Libraries,5.343197698314837,90.286340594602
dwadden/dygiepp,Natural Language Processing,1.7541492376197545,37.64674133045473
eleurent/rl-agents,Reinforcement Learning,2.560240963855422,48.493975903614455
EpistasisLab/tpot,Data Science / Traditional ML,2.468845520808841,63.95485539619092
ethen8181/machine-learning,Data Science / Traditional ML,8.273381294964029,58.63309352517985
evilsocket/pwnagotchi,Reinforcement Learning,0.0,44.26623897353649
explosion/prodigy-recipes,Natural Language Processing,0.2602811035918792,43.46694429984383
explosion/spacy-transformers,Natural Language Processing,0.0,50.74214704867104
facebookresearch/CrypTen,MLOps / Deployment,4.3282070172207385,62.8510912607054
facebookresearch/habitat-api,Computer Vision,0.2164636031912919,35.43818417960294
facebookresearch/mmf,ML Frameworks / Libraries,0.2080011093392498,40.39843768055652
facebookresearch/nevergrad,Data Science / Traditional ML,1.3173212425709209,22.241284235034616
facebookresearch/ReAgent,Reinforcement Learning,0.3213561228383779,40.06909156641025
fastai/fastai,ML Frameworks / Libraries,0.0667868830561677,95.17130835503906
f-dangel/backpack,ML Frameworks / Libraries,0.0606060606060606,41.75757575757576
feast-dev/feast,MLOps / Deployment,3.764534442454234,40.17527348533147
FederatedAI/FATE,MLOps / Deployment,2.605813262823092,54.08978559521756
fepegar/torchio,Computer Vision,0.6416654783972623,30.30086981320405
flairNLP/flair,Natural Language Processing,0.5576000892160142,32.03412512546002
flatironinstitute/CaImAn,Computer Vision,1.722480371735299,58.76462105431822
freewym/espresso,ML Frameworks / Libraries,0.3965303593556382,33.27314568950257
FunctionLab/selene,Data Science / Traditional ML,2.0465994962216625,34.94962216624685
galaxyproject/galaxy,Domain-Specific Applications,0.0,49.959592970315065
geomstats/geomstats,ML Frameworks / Libraries,0.2279158990332567,43.96877552183245
geoopt/geoopt,ML Frameworks / Libraries,0.475963826749167,65.80199904807235
geyang/ml_logger,Computer Vision,2.9069767441860463,79.60644007155635
gjy3035/C-3-Framework,Computer Vision,4.415524052986289,18.12688821752266
google/automl,Computer Vision,0.0,26.720973950407306
google/clusterfuzz,MLOps / Deployment,0.0,28.39392458363096
google/fhir,Domain-Specific Applications,0.0,0.0
google/flax,ML Frameworks / Libraries,0.1236418713197224,54.943356567701656
google/ml-metadata,MLOps / Deployment,0.0,35.64520585797182
google/qkeras,ML Frameworks / Libraries,0.0,27.35393426507672
google/tf-quant-finance,ML Frameworks / Libraries,0.09867966606801,18.413625688290672
GoogleCloudPlatform/healthcare,Domain-Specific Applications,0.0,47.76579352850539
GoogleCloudPlatform/ml-on-gcp,Data Science / Traditional ML,1.6115169746454665,68.65062311989686
GoogleCloudPlatform/professional-services,MLOps / Deployment,1.3112684093585711,37.21331180262983
GoogleCloudPlatform/python-docs-samples,MLOps / Deployment,0.1373676029353288,47.54365036330116
GoogleCloudPlatform/training-data-analyst,MLOps / Deployment,0.5734263147185586,101.3022326631028
google-research/google-research,ML Frameworks / Libraries,1.4388302103858912,27.340833710697986
google-research/meta-dataset,ML Frameworks / Libraries,0.0658848333113717,72.60508630913164
google-research/tensor2robot,ML Frameworks / Libraries,0.0,34.74329596829132
google-research/text-to-text-transfer-transformer,ML Frameworks / Libraries,1.1693171188026192,18.475210477081383
